# x y rho rho*u rho*v rho*E
    0.987085   0.00181761      1.39489     0.755331    -0.104247      6.24407
    0.993899  0.000862226       1.4066     0.734031    -0.093141      6.33566
      1.0014  6.04128e-07      1.42192     0.722717  7.05877e-05      6.45388
    0.994129  -0.00229329      1.41306     0.733859    0.0882509      6.37612
    0.987311  -0.00329283      1.39806     0.755156     0.102392      6.26387
     0.97976  -0.00439562      1.38467     0.773968     0.106333      6.17113
    0.971356  -0.00561047      1.37045     0.789701     0.107919      6.07796
    0.962102  -0.00693342      1.35736     0.802855     0.108764      5.99433
    0.957089  -0.00764353      1.34573     0.813852     0.109475      5.92107
    0.951817  -0.00838564      1.33515     0.823386     0.110153      5.85507
    0.946302  -0.00915679      1.32593     0.831759     0.110625      5.79791
    0.940521  -0.00995935      1.31792     0.839121     0.110855      5.74843
    0.934453   -0.0107957      1.31103     0.845623     0.110864      5.70605
    0.928076   -0.0116679      1.30529     0.851348     0.110697      5.67079
     0.92139    -0.012575       1.3007     0.856334     0.110389      5.64264
    0.914413   -0.0135137      1.29721     0.860625     0.109959      5.62121
    0.907124   -0.0144859       1.2947     0.864288     0.109418      5.60583
    0.899498   -0.0154926      1.29305     0.867413     0.108782      5.59565
    0.891511   -0.0165266      1.29207     0.870117     0.108055      5.58957
    0.883197   -0.0175927      1.29161      0.87252     0.107244      5.58667
    0.874548   -0.0186909      1.29158     0.874709     0.106364      5.58636
     0.86553   -0.0198242      1.29188     0.876748      0.10543      5.58811
    0.856128    -0.020993      1.29245     0.878685      0.10445      5.59145
    0.846387   -0.0221906      1.29321     0.880561     0.103425      5.59595
    0.836276   -0.0234194      1.29409     0.882409     0.102359       5.6012
    0.825765   -0.0246815      1.29504     0.884261     0.101251      5.60685
    0.814906    -0.025969      1.29601     0.886137     0.100102      5.61263
    0.803672   -0.0272836      1.29695      0.88805     0.098914      5.61829
    0.792042   -0.0286132      1.29786     0.890012    0.0976817      5.62372
    0.780071    -0.029957      1.29871     0.892022    0.0964052      5.62886
    0.767714   -0.0313237      1.29951     0.894074    0.0950839      5.63365
    0.755009   -0.0327073      1.30024     0.896156    0.0937103      5.63807
    0.741958   -0.0341056      1.30091      0.89825    0.0922797       5.6421
    0.728551   -0.0355179      1.30151     0.900336    0.0907867      5.64575
    0.714835   -0.0369371      1.30205     0.902389    0.0892259      5.64905
    0.700782   -0.0383641      1.30254     0.904379     0.087594      5.65207
    0.686447   -0.0397729      1.30297      0.90628    0.0858833      5.65479
    0.671808   -0.0411807      1.30334     0.908073    0.0840855      5.65715
    0.656922   -0.0425801      1.30363     0.909749    0.0821918      5.65903
    0.641773   -0.0439704       1.3038     0.911303    0.0801937      5.66028
    0.626415    -0.045344      1.30382     0.912743    0.0780838      5.66069
    0.610842   -0.0466988      1.30368      0.91408    0.0758551      5.66011
    0.595104   -0.0480235      1.30334     0.915332    0.0735037      5.65844
    0.579205   -0.0493101      1.30281     0.916512    0.0710242      5.65565
    0.563187   -0.0505616      1.30208     0.917635    0.0684098      5.65174
    0.547069   -0.0517737      1.30115     0.918718    0.0656553      5.64673
    0.530882   -0.0529412      1.30004     0.919778    0.0627549      5.64074
    0.514656   -0.0540593      1.29878      0.92083    0.0597036      5.63395
    0.498418   -0.0551226      1.29742     0.921889    0.0564966      5.62669
    0.482197   -0.0561227      1.29602     0.922963    0.0531286      5.61935
    0.466025   -0.0570594      1.29466     0.924061    0.0495955      5.61242
    0.449923   -0.0579289      1.29343     0.925184    0.0458932      5.60643
     0.43393   -0.0587268       1.2924     0.926338    0.0420171      5.60187
    0.418062   -0.0594502      1.29164     0.927529    0.0379616      5.59915
    0.402358   -0.0600954       1.2912     0.928772    0.0337208      5.59861
    0.386828   -0.0606505      1.29111      0.93008    0.0292881      5.60048
    0.371513    -0.061121      1.29141     0.931461    0.0246581      5.60498
     0.35642    -0.061507      1.29212     0.932911    0.0198242      5.61219
    0.341587   -0.0618069      1.29319     0.934422    0.0147793      5.62198
    0.327015   -0.0620204      1.29461      0.93597   0.00951198      5.63417
    0.312746   -0.0621465      1.29634     0.937516   0.00401481      5.64865
