# x y rho rho*u rho*v rho*E
           1            0      1.37866     0.734236 -5.56678e-05       6.1848
    0.946302  -0.00915679      1.29888     0.836004     0.111206      5.63329
    0.940521  -0.00995935      1.29308      0.84176     0.111183      5.59776
    0.934453   -0.0107957      1.28852     0.846556     0.110945      5.56984
    0.928076   -0.0116679       1.2851     0.850535     0.110541       5.5489
     0.92139    -0.012575      1.28271     0.853805     0.110011       5.5343
    0.914413   -0.0135137      1.28123     0.856467     0.109378      5.52517
    0.907124   -0.0144859      1.28049     0.858632     0.108657      5.52057
    0.899498   -0.0154926      1.28035      0.86041     0.107865      5.51957
    0.891511   -0.0165266      1.28065     0.861912      0.10701      5.52125
    0.883197   -0.0175927      1.28128     0.863237     0.106097      5.52491
    0.874548   -0.0186909      1.28216     0.864455     0.105139       5.5301
     0.86553   -0.0198242      1.28324     0.865616     0.104144      5.53645
    0.856128    -0.020993      1.28445     0.866763     0.103118      5.54367
    0.846387   -0.0221906      1.28577     0.867928     0.102062      5.55151
    0.836276   -0.0234194      1.28716     0.869138     0.100976      5.55977
    0.825765   -0.0246815       1.2886     0.870419    0.0998593      5.56832
    0.814906    -0.025969      1.29006     0.871789    0.0987126      5.57703
    0.803672   -0.0272836      1.29153     0.873261    0.0975359      5.58583
    0.792042   -0.0286132      1.29303     0.874844    0.0963248      5.59475
    0.780071    -0.029957      1.29454     0.876542    0.0950784      5.60385
    0.767714   -0.0313237       1.2961     0.878353    0.0937962      5.61317
    0.755009   -0.0327073       1.2977      0.88027    0.0924718      5.62279
    0.741958   -0.0341056      1.29936     0.882282    0.0911006      5.63273
    0.728551   -0.0355179      1.30108     0.884374    0.0896769      5.64307
    0.714835   -0.0369371      1.30287     0.886527     0.088195      5.65386
    0.700782   -0.0383641      1.30474     0.888716    0.0866498      5.66516
    0.686447   -0.0397729      1.30669     0.890918    0.0850323      5.67702
    0.671808   -0.0411807      1.30874     0.893117    0.0833342      5.68942
    0.656922   -0.0425801      1.31086     0.895295    0.0815472      5.70233
    0.641773   -0.0439704      1.31304     0.897438    0.0796615      5.71562
    0.626415    -0.045344      1.31525      0.89954    0.0776685      5.72913
    0.610842   -0.0466988      1.31746     0.901595    0.0755595      5.74265
    0.595104   -0.0480235      1.31962     0.903605     0.073327      5.75597
    0.579205   -0.0493101      1.32172     0.905573    0.0709614      5.76892
    0.563187   -0.0505616      1.32373     0.907504    0.0684533      5.78137
    0.547069   -0.0517737      1.32561     0.909402    0.0657959      5.79316
    0.530882   -0.0529412      1.32737     0.911266    0.0629806      5.80419
    0.514656   -0.0540593      1.32898     0.913096    0.0599997      5.81441
    0.498418   -0.0551226      1.33044     0.914883    0.0568455       5.8238
    0.482197   -0.0561227      1.33176     0.916617    0.0535096      5.83241
    0.466025   -0.0570594      1.33295      0.91828    0.0499854      5.84033
    0.449923   -0.0579289      1.33403     0.919853    0.0462673      5.84767
     0.43393   -0.0587268      1.33501     0.921312    0.0423501      5.85453
