x y rho u v p
0.846387 -0.022191 1.377556 0.848115 0.016010 6.114839
0.836276 -0.023419 1.378215 0.848192 0.015540 6.118756
0.825765 -0.024681 1.378868 0.848268 0.015074 6.122641
0.814906 -0.025969 1.379513 0.848342 0.014614 6.126482
0.803672 -0.027284 1.380126 0.848413 0.014177 6.130126
0.792042 -0.028613 1.380676 0.848479 0.013785 6.133388
0.780071 -0.029957 1.381180 0.848540 0.013426 6.136376
0.767714 -0.031324 1.381675 0.848600 0.013074 6.139309
0.755009 -0.032707 1.382171 0.848659 0.012720 6.142253
0.741958 -0.034106 1.382669 0.848718 0.012365 6.145209
0.728551 -0.035518 1.383169 0.848777 0.012009 6.148176
0.714835 -0.036937 1.383671 0.848836 0.011652 6.151153
0.700782 -0.038364 1.384149 0.848892 0.011312 6.153990
0.686447 -0.039773 1.384581 0.848944 0.011004 6.156551
0.671808 -0.041181 1.384995 0.848995 0.010710 6.158998
0.656922 -0.042580 1.385417 0.849046 0.010409 6.161500
0.641773 -0.043970 1.385851 0.849098 0.010101 6.164070
0.626415 -0.045344 1.386296 0.849149 0.009784 6.166711
0.610842 -0.046699 1.386749 0.849201 0.009462 6.169397
0.595104 -0.048023 1.387195 0.849252 0.009144 6.172048
0.579205 -0.049310 1.387633 0.849302 0.008832 6.174650
0.563187 -0.050562 1.388081 0.849351 0.008513 6.177313
0.547069 -0.051774 1.388551 0.849402 0.008179 6.180109
0.530882 -0.052941 1.389043 0.849452 0.007828 6.183045
0.514656 -0.054059 1.389558 0.849503 0.007461 6.186129
0.498418 -0.055123 1.390095 0.849553 0.007078 6.189343
0.482197 -0.056123 1.390651 0.849603 0.006681 6.192681
0.466025 -0.057059 1.391233 0.849652 0.006266 6.196182
0.449923 -0.057929 1.391845 0.849700 0.005828 6.199880
0.433930 -0.058727 1.392491 0.849747 0.005368 6.203784
0.418062 -0.059450 1.393169 0.849792 0.004883 6.207902
0.402358 -0.060095 1.393878 0.849835 0.004377 6.212211
0.386828 -0.060651 1.394613 0.849874 0.003851 6.216697
0.371513 -0.061121 1.395382 0.849910 0.003301 6.221410
0.356420 -0.061507 1.396195 0.849941 0.002720 6.226402
0.341587 -0.061807 1.397052 0.849968 0.002107 6.231685
0.327015 -0.062020 1.397954 0.849988 0.001462 6.237270
0.312746 -0.062147 1.398903 0.850002 0.000784 6.243162
0.298766 -0.062185 1.399899 0.850008 0.000072 6.249370
0.285128 -0.062132 1.400944 0.850004 -0.000682 6.255916
0.271803 -0.061994 1.402042 0.849990 -0.001486 6.262818
0.258838 -0.061772 1.403194 0.849964 -0.002344 6.270091
0.246225 -0.061469 1.404400 0.849925 -0.003257 6.277740
0.233963 -0.061086 1.405659 0.849869 -0.004228 6.285771
0.222095 -0.060628 1.406975 0.849796 -0.005259 6.294198
0.210581 -0.060096 1.408345 0.849702 -0.006350 6.303021
0.199440 -0.059494 1.409757 0.849587 -0.007496 6.312173
0.188700 -0.058838 1.411197 0.849449 -0.008684 6.321557
0.178325 -0.058118 1.412667 0.849285 -0.009919 6.331206
0.168316 -0.057337 1.414178 0.849092 -0.011210 6.341186
0.158689 -0.056502 1.415729 0.848869 -0.012558 6.351506
0.149451 -0.055616 1.417319 0.848610 -0.013964 6.362168
0.140571 -0.054680 1.418949 0.848315 -0.015430 6.373183
0.132041 -0.053699 1.420619 0.847978 -0.016957 6.384562
0.123867 -0.052677 1.422329 0.847596 -0.018547 6.396319
0.116044 -0.051617 1.424079 0.847164 -0.020202 6.408466
0.108569 -0.050524 1.425877 0.846679 -0.021930 6.421063
0.101432 -0.049401 1.427910 0.846106 -0.023885 6.435369
0.094633 -0.048182 1.430495 0.845389 -0.026331 6.453513
0.088153 -0.046915 1.433630 0.844508 -0.029276 6.475545
